country,cumulativeDeaths
Haiti,1344790
Bosnia And Herzegovina,252
Mozambique,12874
Venezuela,271829
Morocco,8065
Peru,20785
Turkey,167439
Papua New Guinea,3520
Colombia,167829
Malawi,5843
Czech Republic,369
China,1143464
Serbia,627
Iran,373662
Togo,48
Niger,1163
Slovakia,122
Pakistan,672234
Ukraine,427
Belarus,6
Kazakhstan,59
Russia,5150
Algeria,70609
Afghanistan,42813
Croatia,3
Libya,32
Jordan,33
Tajikistan,1705
Azerbaijan,227
Mexico,40344
Spain,320
Ecuador,28419
Benin,1374
Burkina Faso,895
Sudan,8571
Nigeria,10939
Philippines,27091
Zambia,343
Hungary,11
Bangladesh,75009
Angola,2428
Italy,19634
Guatemala,2035
Ghana,1703
Montenegro,0
France,504
Taiwan,4645
Uganda,8125
Honduras,3115
United Kingdom,429
Japan,322119
Myanmar,2156
Armenia,9
Vietnam,27441
Panama,418
Puerto Rico,76
Thailand,113176
Australia,1064
Cuba,302
Indonesia,482528
India,1282776
North Korea,8138
Bulgaria,612
Somalia,353948
Laos,1177
Brazil,16475
United States of America,6848
Germany,265
Poland,666
Ethiopia,2107527
Namibia,3120
Austria,150
Ireland,7
Canada,92
New Zealand,213
Jamaica,933
Chad,1429
Greece,1338
Kenya,16039
South Africa,1835
Fiji,192
Gambia,41
Sri Lanka,504550
Saudi Arabia,697
Guyana,102
South Sudan,662
Belgium,21
Solomon Islands,619
Moldova,312
Slovenia,5
Romania,2952
Albania,144
Portugal,242
Liberia,20
Timor-Leste,22
Bolivia,6571
Lithuania,8
Uruguay,36
Dominican Republic,3170
Saint Lucia,24
Iceland,0
Argentina,1596
Chile,6911
Costa Rica,791
Macedonia,46
Kyrgyzstan,270
El Salvador,16931
Switzerland,30
Suriname,37
Cameroon,243
Rwanda,1758
Mongolia,285
Nepal,150443
Tanzania,1738
Botswana,108
Tunisia,714
Malaysia,1192
Zimbabwe,497
Georgia,104
Bhutan,446
Mauritania,299
Senegal,390
Mali,488
Madagascar,217
Nicaragua,2105
Lesotho,156
Eritrea,0
Cambodia,17099
Yemen,4045
Seychelles,128
Vanuatu,36
Djibouti,521
Egypt,3720
Iraq,322
Democratic Republic Of The Congo,393
Saint Vincent And The Grenadines,48
South Korea,4761
Samoa,0
Guinea,326
Central African Republic,12
Republic Of Congo,26
Paraguay,0
Burundi,750
Netherlands,2
Guinea-Bissau,6
Sierra Leone,155
Mauritius,11
Trinidad And Tobago,5
Kosovo,0
Cyprus,4
Norway,3
Belize,4
Uzbekistan,22
Lebanon,0
Tonga,9
Comoros,19
Bahamas,0
Israel,29
Sweden,33
Syria,86
Finland,0
Qatar,0
Barbados,0
Cote D'Ivoire,84
Turkmenistan,11
Kuwait,2
Gabon,1
